Price,price,log_return
Ticker,^GSPC,
Date,,
2015-01-05,2020.5799560546875,-0.01844721353258727
2015-01-06,2002.6099853515625,-0.00893325469070017
2015-01-07,2025.9000244140625,0.011562735844876304
2015-01-08,2062.139892578125,0.017730168127155693
2015-01-09,2044.81005859375,-0.008439322147078786
2015-01-12,2028.260009765625,-0.008126616843470486
2015-01-13,2023.030029296875,-0.0025818854358163217
2015-01-14,2011.27001953125,-0.00583002896797565
2015-01-15,1992.6700439453125,-0.009290903004567546
2015-01-16,2019.4200439453125,0.013334893186267299
2015-01-20,2022.550048828125,0.001548752433400387
2015-01-21,2032.1199951171875,0.004720465022189361
2015-01-22,2063.14990234375,0.015154313070630327
2015-01-23,2051.820068359375,-0.005506656279301935
2015-01-26,2057.090087890625,0.0025651679986232745
2015-01-27,2029.550048828125,-0.013478287815857576
2015-01-28,2002.1600341796875,-0.01358750281102202
2015-01-29,2021.25,0.00948951705826357
2015-01-30,1994.989990234375,-0.013077099006318498
2015-02-02,2020.8499755859375,0.012879170000215516
2015-02-03,2050.030029296875,0.014336238577453099
2015-02-04,2041.510009765625,-0.0041647065724529616
2015-02-05,2062.52001953125,0.010238810710909235
2015-02-06,2055.469970703125,-0.00342402761187852
2015-02-09,2046.739990234375,-0.004256239310481708
2015-02-10,2068.590087890625,0.010618979554062366
2015-02-11,2068.530029296875,-2.9034010158247172e-05
2015-02-12,2088.47998046875,0.009598295065916026
2015-02-13,2096.989990234375,0.004066459227779422
2015-02-17,2100.340087890625,0.0015962996977983961
2015-02-18,2099.679931640625,-0.00031435862322874816
2015-02-19,2097.449951171875,-0.0010626217157189283
2015-02-20,2110.300048828125,0.006107842721055837
2015-02-23,2109.659912109375,-0.000303385211985694
2015-02-24,2115.47998046875,0.002754972468831103
2015-02-25,2113.860107421875,-0.0007660169636026022
2015-02-26,2110.739990234375,-0.00147711863025381
2015-02-27,2104.5,-0.0029606830486323707
2015-03-02,2117.389892578125,0.0061062381811330165
2015-03-03,2107.780029296875,-0.004548872603817568
2015-03-04,2098.530029296875,-0.004398161230154572
2015-03-05,2101.0400390625,0.001195365251036089
2015-03-06,2071.260009765625,-0.014275356362467066
2015-03-09,2079.429931640625,0.003936662357975969
2015-03-10,2044.1600341796875,-0.017106820937141425
2015-03-11,2040.239990234375,-0.001919520676484767
2015-03-12,2065.949951171875,0.012522702206037068
2015-03-13,2053.39990234375,-0.006093237090196838
2015-03-16,2081.18994140625,0.013442909023855906
2015-03-17,2074.280029296875,-0.0033256977077820026
2015-03-18,2099.5,0.012085101501628708
2015-03-19,2089.27001953125,-0.004884489126950175
2015-03-20,2108.10009765625,0.008972382193259682
2015-03-23,2104.419921875,-0.0017472566067133015
2015-03-24,2091.5,-0.006158345701590925
2015-03-25,2061.050048828125,-0.014665926527239062
2015-03-26,2056.14990234375,-0.0023803307374738966
2015-03-27,2061.02001953125,0.0023657607295033602
2015-03-30,2086.239990234375,0.012162382647149434
2015-03-31,2067.889892578125,-0.008834686217530795
2015-04-01,2059.68994140625,-0.0039732542018475255
2015-04-02,2066.9599609375,0.0035234523037141535
2015-04-06,2080.6201171875,0.006587072647165644
2015-04-07,2076.330078125,-0.002064032708587167
2015-04-08,2081.89990234375,0.0026789415573472003
2015-04-09,2091.179931640625,0.004447575873625805
